Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24
<ID|readonly|noverify>;<English>;<French>;<Italian>;;;;;;;;;;;;;;;;;;;;
warpoints/short;€;€;same;;;;;;;;;;;;;;;;;;;;
warpoints/short/colored;<color=@currencyWpColor>€</color>;<color=@currencyWpColor>€</color>;same;;;;;;;;;;;;;;;;;;;;
gold/short;¤;¤;same;;;;;;;;;;;;;;;;;;;;
gold/short/colored;<color=@currencyGoldColor>¤</color>;<color=@currencyGoldColor>¤</color>;same;;;;;;;;;;;;;;;;;;;;
experience/short;▉;▉;same;;;;;;;;;;;;;;;;;;;;
currency/researchPoints/sign;▉;▉;same;;;;;;;;;;;;;;;;;;;;
currency/researchPoints/sign/colored;<color=@currencyRpColor>▉</color>;<color=@currencyRpColor>▉</color>;same;;;;;;;;;;;;;;;;;;;;
currency/freeResearchPoints/sign;▉;▉;same;;;;;;;;;;;;;;;;;;;;
currency/freeResearchPoints/sign/colored;<color=@currencyFreeRpColor>▉</color>;<color=@currencyFreeRpColor>▉</color>;same;;;;;;;;;;;;;;;;;;;;
currency/skillPoints/sign;▆;▆;same;;;;;;;;;;;;;;;;;;;;
currency/skillPoints/sign/colored;<color=@white>▆</color>;<color=@white>▆</color>;same;;;;;;;;;;;;;;;;;;;;
currency/warbond;<color=#dcc868>£</color>;<color=#dcc868>£</color>;same;;;;;;;;;;;;;;;;;;;;
currency/warbond/blue;<color=#699dcd>£</color>;<color=#699dcd>£</color>;same;;;;;;;;;;;;;;;;;;;;
currency/warbond/red;<color=#cc6145>£</color>;<color=#cc6145>£</color>;same;;;;;;;;;;;;;;;;;;;;
currency/warbond/green;<color=#88bc56>£</color>;<color=#88bc56>£</color>;same;;;;;;;;;;;;;;;;;;;;
currency/chinese_yuan;{amount}元;{amount}元;same;;;;;;;;;;;;;;;;;;;;
currency/gc/sign;⋬;⋬;same;;;;;;;;;;;;;;;;;;;;
currency/gc/sign/colored;<color=@currencyGCColor>⋬</color>;<color=@currencyGCColor>⋬</color>;same;;;;;;;;;;;;;;;;;;;;
currency/squadronActivity;┉;┉;same;;;;;;;;;;;;;;;;;;;;
currency/squadronActivity/colored;<color=@currencySapColor>┉</color>;<color=@currencySapColor>┉</color>;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/football_goals;⋨;⋨;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/football_assists;●;●;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/football_saves;⋧;⋧;same;;;;;;;;;;;;;;;;;;;;
hud/iconRevenge;▊;▊;same;;;;;;;;;;;;;;;;;;;;
hud/iconOrderTarget;▋;▋;same;;;;;;;;;;;;;;;;;;;;
hud/iconOrderRevenge;▌;▌;same;;;;;;;;;;;;;;;;;;;;
hud/iconAircraftEvent;▍;▍;same;;;;;;;;;;;;;;;;;;;;
hud/iconRepair;▨;▨;same;;;;;;;;;;;;;;;;;;;;
hud/iconHealing;⌈;⌈;same;;;;;;;;;;;;;;;;;;;;
hud/iconBinocular;⌂;⌂;same;;;;;;;;;;;;;;;;;;;;
hud/iconBrokenShield;◒;◒;same;;;;;;;;;;;;;;;;;;;;
hud/radarEmitting;╎;╎;same;;;;;;;;;;;;;;;;;;;;
icon/orderScore;▂;▂;same;;;;;;;;;;;;;;;;;;;;
icon/orderSymbol;▪;▪;same;;;;;;;;;;;;;;;;;;;;
icon/timer;▩;▩;same;;;;;;;;;;;;;;;;;;;;
icon/hourglass;▫;▫;same;;;;;;;;;;;;;;;;;;;;
icon/infinity;∞;∞;same;;;;;;;;;;;;;;;;;;;;
icon/web_poll;┋;┋;same;;;;;;;;;;;;;;;;;;;;
icon/summation;∑;∑;same;;;;;;;;;;;;;;;;;;;;
icon/search;⌡;⌡;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/score;▂;▂;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/kills;▭;▭;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/ufoKills;▄;▄;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/groundKills;▮;▮;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/suitKills;▊;▊;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/navalDamage;⋩;⋩;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/navalKills;┚;┚;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/aiKills;▰;▰;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/aiGroundKills;▯;▯;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/aiNavalKills;┙;┙;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/aiTotalKills;␢;␢;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/assists;▱;▱;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/deaths;▴;▴;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/captureZone;△;△;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/damageZone;▲;▲;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/rowNo;#;#;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/raceLastCheckpoint;▵;▵;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/raceLastCheckpointTime;▶;▶;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/raceLap;▷;▷;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/raceBestLapTime;▸;▸;same;;;;;;;;;;;;;;;;;;;;
icon/mpstats/raceFinishTime;▹;▹;same;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/kill_a_a;▓;▥;nice;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/kill_a_t;▥;▥;same;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/kill_a_s;▥;▥;same;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/kill_t_a;▦;▦;same;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/kill_t_t;▔;▦;nice;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/kill_t_s;▔;▦;nice;;;;;;;;;;;;;;;;;;;;
icon/hud_msg_mp_dmg/kill_s_a;▤;▤;same;;;;;;;;;;;;;;;;;;;;
