Column1;Column2;Column3;Column4;Column5;Column6;Column7
<ID|readonly|noverify>;<English>;<French>;<Italian>;;;
controls/on;On;On;same;;;
controls/dmg;Dmg;Dmg;same;;;
controls/off;Off;Off;same;;;
controls/AUTO;Auto;Auto;same;;;
controls/NA;Not Available;Not Available;nice;;;
controls/broken;Broken;Broken;same;;;
mainmenu/btnControlsWizard;Control Setup Wizard;Control Setup Wizard;nice;;;
mainmenu/btnControlsDefault;Reset to Defaults;Reset to Defaults;nice;;;
controls/turret_throttle;Throttle controls (gunner);Throttle controls (gunner);nice;;;
controls/turret_x;Gunner aiming control (X-axis);Gunner aiming control (X-axis);nice;;;
controls/turret_y;Gunner aiming control (Y-axis);Gunner aiming control (Y-axis);nice;;;
controls/none;None;None;same;;;
controls/mouse_look_type;"Mouse look works only if ""Mouse look"" pressed";"Mouse look works only if ""Mouse look"" pressed";nice;;;
controls/camera_smooth;Camera Smoothness;Camera Smoothness;nice;;;
controls/camera_speed;Camera Look Speed;Camera Look Speed;nice;;;
controls/gunner_joy_speed;Aiming control speed;Aiming control speed;nice;;;
controls/gunner/gun_jammed;Gun jammed;Gun jammed;nice;;;
controls/gunner/no_bullets_left;Out of ammo;Out of ammo;nice;;;
controls/camera_mouse_speed;Camera Mouse Look Speed;Camera Mouse Look Speed;nice;;;
controls/hatview_mouse;Relative camera movement on hatview;Relative camera movement on hatview;nice;;;
controls/trackIrZoom;Control zoom with head tracking;Control zoom with head tracking;nice;;;
hotkeys/trackIrZoom;Would you like to control zoom with head tracking?;Would you like to control zoom with head tracking?;nice;;;
controls/trackIrAsHeadInTPS;Fixed camera position in 3rd person view;Fixed camera position in 3rd person view;nice;;;
hotkeys/trackIrAsHeadInTPS;Fix camera position in 3rd person view;Fix camera position in 3rd person view;nice;;;
controls/trackIrForLateralMovement;Track head movement up-down/left-right;Track head movement up-down/left-right;nice;;;
hotkeys/trackIrForLateralMovement;Track head movement up-down/left-right;Track head movement up-down/left-right;nice;;;
controls/aim_time_nonlinearity_air;Gamepad aim acceleration;Gamepad aim acceleration;nice;;;
controls/aim_time_nonlinearity_tank;Gamepad aim acceleration;Gamepad aim acceleration;nice;;;
controls/aim_time_nonlinearity_ship;Gamepad aim acceleration;Gamepad aim acceleration;nice;;;
controls/aim_time_nonlinearity_submarine;Gamepad aim acceleration;Gamepad aim acceleration;nice;;;
controls/aim_acceleration_delay_air;Aim acceleration delay;Aim acceleration delay;nice;;;
controls/aim_acceleration_delay_tank;Aim acceleration delay;Aim acceleration delay;nice;;;
controls/aim_acceleration_delay_ship;Aim acceleration delay;Aim acceleration delay;nice;;;
