Column1;Column2;Column3;Column4;Column5;Column6;Column7
<ID|readonly|noverify>;<English>;<French>;<Italian>;;;
demo;Demo version;Demo version;same;;;
mainmenu/btnExit;Exit;Exit;same;;;
mainmenu/btnOptions;Options;Options;same;;;
mainmenu/btnCredits;Credits;Credits;same;;;
multiplayer/creditsMode;Credits;Credits;same;;;
mainmenu/btnDemoCampaign;Historical Campaign (TGS);Historical Campaign (TGS);same;;;
mainmenu/btnMissions;Missions;Missions;same;;;
mainmenu/btnPvP;Random Battles;Random Battles;same;;;
mainmenu/btnPvE;Missions;Missions;same;;;
mainmenu/btnTournamentsAndEvents;Events & Tournaments;Events & Tournaments;same;;;
mainmenu/btnBattleTasks;Daily Tasks;Daily Tasks;same;;;
mainmenu/btnBattleTasksHard;Special Tasks;Special Tasks;same;;;
mainmenu/btnPersonalUnlocks;War Diaries;War Diaries;same;;;
mainmenu/btnTournament;Rankings Challenge;Rankings Challenge;same;;;
mainmenu/btnTournamentLb;Tournament Leaderboard;Tournament Leaderboard;same;;;
mainmenu/btnEvents;Events;Events;same;;;
mainmenu/btnSkirmish;Custom Battles;Custom Battles;same;;;
mainmenu/btnCampaign;Historical Campaign;Historical Campaign;same;;;
mainmenu/btnDynamic;Dynamic Campaign;Dynamic Campaign;same;;;
mainmenu/btnSingleMission;Single Missions;Single Missions;same;;;
mainmenu/btnSingleLocalMission;Start Mission Offline;Start Mission Offline;same;;;
mainmenu/btnSingleOnlineMission;Start Mission;Start Mission;same;;;
mainmenu/btnUserMission;User Missions;User Missions;same;;;
mainmenu/btnShop;Research;Research;same;;;
mainmenu/btnCustomMatch;Find Session;Find Session;same;;;
mainmenu/btnTraining;Mission Editor;Mission Editor;same;;;
mainmenu/btnBuilder;Mission Editor;Mission Editor;same;;;
mainmenu/btnTutorial;Tutorial;Tutorial;same;;;
mainmenu/btnMedal;Medals;Medals;same;;;
mainmenu/btnUnlockMedal;Medals;Medals;same;;;
mainmenu/btnExtra;Extras;Extras;same;;;
mainmenu/btnQuickMatch;Quick Match;Quick Match;same;;;
mainmenu/btnProfileOpt;Profile Options;Profile Options;same;;;
mainmenu/btnPrestige;Prestige;Prestige;same;;;
mainmenu/btnOnline;Play Online;Play Online;same;;;
mainmenu/btnExitWizard;Exit the Controls Setup Wizard;Exit the Controls Setup Wizard;same;;;
mainmenu/btnChangeName;Change Nickname;Change Nickname;same;;;
mainmenu/chooseName;Choose a Nickname;Choose a Nickname;same;;;
mainmenu/btnChangePlayer;Switch User;Switch User;same;;;
mainmenu/btnXboxProfile;Gamercard;Gamercard;same;;;
mainmenu/btnPsnProfile;Profile;Profile;same;;;
mainmenu/btnComplain;Complain;Complain;same;;;
mainmenu/btnSend;Send;Send;same;;;
mainmenu/btnUserCard;Player Card;Player Card;same;;;
mainmenu/btnProfile;Player Profile;Player Profile;same;;;
mainmenu/btnMain;Main;Main;same;;;
mainmenu/btnSteamFriendsAdd;Add Steam Friends;Add Steam Friends;same;;;
mainmenu/btnFacebookFriendsAdd;;Add Facebook Friends;nice;;;
mainmenu/btnSteamFriendsAddShort;Add Friends from;Add Friends from;same;;;
mainmenu/btnFacebookFriendsAddShort;;Add Friends from;nice;;;
