Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
<ID|readonly|noverify>;<English>;<French>;<Italian>;;;;;;;;;;;;;;;;;;;
events/join_event;Take part;Take part;same;;;;;;;;;;;;;;;;;;;
events/join_event_by_team;Take part for team {team};Take part for team {team};same;;;;;;;;;;;;;;;;;;;
events/teamA;Team A;Team A;same;;;;;;;;;;;;;;;;;;;
events/teamB;Team B;Team B;same;;;;;;;;;;;;;;;;;;;
events/ffa;Free For All;Free For All;same;;;;;;;;;;;;;;;;;;;
events/team_battle;Team Battle;Team Battle;same;;;;;;;;;;;;;;;;;;;
teamA;A;A;same;;;;;;;;;;;;;;;;;;;
teamB;B;B;same;;;;;;;;;;;;;;;;;;;
events/countres;Countries:;Countries:;same;;;;;;;;;;;;;;;;;;;
events/required_crafts_no_colon;Required vehicles;Required vehicles;same;;;;;;;;;;;;;;;;;;;
events/required_crafts;Required vehicles:;Required vehicles:;same;;;;;;;;;;;;;;;;;;;
events/allowed_crafts_no_colon;Allowed vehicles;Allowed vehicles;same;;;;;;;;;;;;;;;;;;;
events/allowed_crafts;Allowed vehicles:;Allowed vehicles:;same;;;;;;;;;;;;;;;;;;;
events/forbidden_crafts;Forbidden vehicles:;Forbidden vehicles:;same;;;;;;;;;;;;;;;;;;;
events/no_selected_event;Select an event from the list.;Select an event from the list.;same;;;;;;;;;;;;;;;;;;;
events/no_entitlement;Required {entitlement};Required {entitlement};same;;;;;;;;;;;;;;;;;;;
events/squad_is_too_big;"Your squad size is too big for this event ({squadSize}).
Maximum team size is: {maxTeamSize}";"Your squad size is too big for this event ({squadSize}).
Maximum team size is: {maxTeamSize}";same;;;;;;;;;;;;;;;;;;;
events/squads_disabled;Joining a squad is not available for this event.;Joining a squad is not available for this event.;same;;;;;;;;;;;;;;;;;;;
events/no_selected_country;Select a country from the participant list.;Select a country from the participant list.;same;;;;;;;;;;;;;;;;;;;
events/no_allowed_crafts;Select one of allowed vehicles.;Select one of allowed vehicles.;same;;;;;;;;;;;;;;;;;;;
events/no_required_crafts;Missing one of required vehicles;Missing one of required vehicles;same;;;;;;;;;;;;;;;;;;;
events/empty_slotbar;Put a vehicle in at least one crew slot.;Put a vehicle in at least one crew slot.;same;;;;;;;;;;;;;;;;;;;
events/empty_crew;Select a crew slot that is not empty.;Select a crew slot that is not empty.;same;;;;;;;;;;;;;;;;;;;
events/specialRequirements;To participate, you need at least one vehicle in the hangar;To participate, you need at least one vehicle in the hangar;same;;;;;;;;;;;;;;;;;;;
events/no_specialRequirements;No required vehicle in the hangar.;No required vehicle in the hangar.;same;;;;;;;;;;;;;;;;;;;
events/rank;rank %s;rank %s;same;;;;;;;;;;;;;;;;;;;
events/br;BR %s;BR %s;same;;;;;;;;;;;;;;;;;;;
events/event_disabled;The event has ended;The event has ended;same;;;;;;;;;;;;;;;;;;;
events/event_not_started_yet;The event has not started yet.;The event has not started yet.;same;;;;;;;;;;;;;;;;;;;
events/event_will_begin_soon;The event will begin soon.;The event will begin soon.;same;;;;;;;;;;;;;;;;;;;
events/event_is_testing;The event is being tested and is hidden from normies.;The event is being tested. It is hidden from regular users.;nice;;;;;;;;;;;;;;;;;;;
events/event_goes;The event is ongoing;The event is ongoing;same;;;;;;;;;;;;;;;;;;;
events/event_started_at;Started: %s ago;Started: %s ago;same;;;;;;;;;;;;;;;;;;;
events/event_starts_in;Starts in: %s;Starts in: %s;same;;;;;;;;;;;;;;;;;;;
events/event_ends_in;Ends in: %s;Ends in: %s;same;;;;;;;;;;;;;;;;;;;
events/featured_event;Featured event:;Featured event:;same;;;;;;;;;;;;;;;;;;;
events/historical_common_desc;The battles take place in a historical location. The vehicles list is limited to the vehicles that indeed fought in that period.;The battles take place in a historical location. The vehicles list is limited to the vehicles that indeed fought in that period.;same;;;;;;;;;;;;;;;;;;;
events/hb_with_all_countries;Realistic Battles mission with all countries taking part in it.;Realistic Battles mission with all countries taking part in it.;same;;;;;;;;;;;;;;;;;;;
events/rb_with_all_countries;Simulator Battles mission with all countries taking part in it.;Simulator Battles mission with all countries taking part in it.;same;;;;;;;;;;;;;;;;;;;
events/ab_without_respawns;Arcade Battles mission without respawns.;Arcade Battles mission without respawns.;same;;;;;;;;;;;;;;;;;;;
events/air_bought;You have this vehicle;You have this vehicle;same;;;;;;;;;;;;;;;;;;;
events/air_can_buy;You can purchase this vehicle;You can purchase this vehicle;same;;;;;;;;;;;;;;;;;;;
events/all_units_allowed;All types of vehicles are allowed;All types of vehicles are allowed;same;;;;;;;;;;;;;;;;;;;
events/all_crafts_allowed;All aircraft are allowed;All aircraft are allowed;same;;;;;;;;;;;;;;;;;;;
events/all_tanks_allowed;All ground forces are allowed;All ground forces are allowed;same;;;;;;;;;;;;;;;;;;;
events/allowed_units;{unitType} and {unitType2} are allowed;{unitType} and {unitType2} are allowed;same;;;;;;;;;;;;;;;;;;;
events/allowed_units/Aircraft;aircraft;aircraft;same;;;;;;;;;;;;;;;;;;;
events/allowed_units/Tank;ground forces;ground forces;same;;;;;;;;;;;;;;;;;;;
events/allowed_units/Ship;naval vessels;naval vessels;same;;;;;;;;;;;;;;;;;;;
events/allowed_units/Helicopter;helicopters;helicopters;same;;;;;;;;;;;;;;;;;;;
events/allowed_only/Aircraft;Only aircraft are allowed;Only aircraft are allowed;same;;;;;;;;;;;;;;;;;;;
events/allowed_only/Tank;Only ground vehicles are allowed;Only ground vehicles are allowed;same;;;;;;;;;;;;;;;;;;;
events/allowed_only/Ship;Only naval vessels are allowed;Only naval vessels are allowed;same;;;;;;;;;;;;;;;;;;;
events/allowed_only/Helicopter;Only helicopters are allowed;Only helicopters are allowed;same;;;;;;;;;;;;;;;;;;;
events/selected_craft_is_not_allowed;Selected vehicle is not allowed;Selected vehicle is not allowed;same;;;;;;;;;;;;;;;;;;;
events/minSquadSize;Squad size is smaller than {minSize};Squad size is smaller than {minSize};same;;;;;;;;;;;;;;;;;;;
