Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
<ID|readonly|noverify>;<English>;<French>;<Italian>;;;;;;;;;;;;;;;;;;;
aircraft_repaired;Vehicle repaired;Vehicle repaired;same;;;;;;;;;;;;;;;;;;;
aircraft_rearmed;Vehicle rearmed;Vehicle rearmed;same;;;;;;;;;;;;;;;;;;;
aircraft_refueled;Vehicle refueled;Vehicle refueled;same;;;;;;;;;;;;;;;;;;;
hints/objective_success;Mission objective completed;Mission objective completed;same;;;;;;;;;;;;;;;;;;;
hints/objective_fail;Mission objective failed;Mission objective failed;same;;;;;;;;;;;;;;;;;;;
hints/secondary_added;Secondary objective received;Secondary objective received;same;;;;;;;;;;;;;;;;;;;
hints/secondary_success;Secondary objective completed;Secondary objective completed;same;;;;;;;;;;;;;;;;;;;
hints/secondary_fail;Secondary objective failed;Secondary objective failed;same;;;;;;;;;;;;;;;;;;;
hints/objective_success_extended;Mission objective: {missionObj} completed;Mission objective: {missionObj} completed;same;;;;;;;;;;;;;;;;;;;
hints/objective_fail_extended;Mission objective: {missionObj} failed;Mission objective: {missionObj} failed;same;;;;;;;;;;;;;;;;;;;
hints/secondary_success_extended;Secondary objective: {missionObj} completed;Secondary objective: {missionObj} completed;same;;;;;;;;;;;;;;;;;;;
hints/secondary_fail_extended;Secondary objective: {missionObj} failed;Secondary objective: {missionObj} failed;same;;;;;;;;;;;;;;;;;;;
hints/one_minute_left;1 min left!;You're holding up the mission! Deal with the objective!;nice;;;;;;;;;;;;;;;;;;;
hints/five_minutes_left;2 min left!;You're taking too long!;nice;;;;;;;;;;;;;;;;;;;
hints/ten_minutes_left;4 min left!;Take care of your objective. Time's running out!;nice;;;;;;;;;;;;;;;;;;;
hints/lower;You or your teammate have to decrease altitude to avoid detection.;You or your teammate have to decrease altitude to avoid detection.;same;;;;;;;;;;;;;;;;;;;
hints/killall;Destroy all the enemies before they can communicate your position;Destroy all the enemies before they can communicate your position;same;;;;;;;;;;;;;;;;;;;
hints/covers;Take cover to avoid enemy fire;Take cover to avoid enemy fire;same;;;;;;;;;;;;;;;;;;;
hints/cutsc_skip;Skip;Skip;same;;;;;;;;;;;;;;;;;;;
hints/skip;Press {shortcut} to skip;Press {shortcut} to skip;same;;;;;;;;;;;;;;;;;;;
hints/only_you_alive;You are the last active squad member. If you lose your aircraft now, the mission will be failed.;You are the last active squad member. If you lose your aircraft now, the mission will be failed.;same;;;;;;;;;;;;;;;;;;;
hints/only_you_exist;You are the last squad member.;You are the last squad member.;same;;;;;;;;;;;;;;;;;;;
hints/return;Return to the designated route!;Return to the designated route!;same;;;;;;;;;;;;;;;;;;;
hints/only_you_alive_veteran;You are the last squad member.;You are the last squad member.;same;;;;;;;;;;;;;;;;;;;
hints/lower_single;Decrease your altitude to avoid detection;Decrease your altitude to avoid detection;same;;;;;;;;;;;;;;;;;;;
hints/mp_start_in1;Start in: 1;Start in: 1;same;;;;;;;;;;;;;;;;;;;
hints/mp_start_in2;Start in: 2;Start in: 2;same;;;;;;;;;;;;;;;;;;;
hints/mp_start_in3;Start in: 3;Start in: 3;same;;;;;;;;;;;;;;;;;;;
hints/mp_start_in4;Start in: 4;Start in: 4;same;;;;;;;;;;;;;;;;;;;
hints/mp_start_in5;Start in: 5;Start in: 5;same;;;;;;;;;;;;;;;;;;;
hints/tutorial_airfieldSight;;Look at the airfield to estimate your position;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_carrierSight;;Look at the carrier to estimate your position;nice;;;;;;;;;;;;;;;;;;;
hints/test_mission_shortcut;start attack wave;start attack wave;same;;;;;;;;;;;;;;;;;;;
hints/realistic_repair;"You have no more bombs; you can switch to another plane in your group or repair and rearm on the airfield";"You have no more bombs; you can switch to another plane in your group or repair and rearm on the airfield";same;;;;;;;;;;;;;;;;;;;
hints/tutorial_elevator01;;Try the elevator controls;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_ailerons01;;Try the aileron controls;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_rudder01;;Try the rudder controls;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_throttle01;;Increase the throttle to 100%;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_levelAircraft;;Raise the elevator to prevent your aircraft from crashing;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_gears01;;Raise the flaps and gears;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_elevator02;;Use the elevator to reach the designated altitude;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_ailerons02;;Use the ailerons to lurch your aircraft;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_rudder02;;Use the rudder to correct your course;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_throttle02;;Decrease the throttle to 30%;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_throttle03;;Increase the throttle to 80%;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_boost;;Continue increasing the throttle to enable the boost;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_turn_ps4_hint;;Move the cursor on the waypoint to turn your aircraft;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_turn01;;Use the ailerons to lurch your aircraft;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_turn02;;Use the elevator to complete your combat turn maneuver;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_spin01;;"Raise the nose of your aircraft to make it stall
Then use ailerons to put your plane into a spin";nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_spin02;;Turn the ailerons in rotation direction, and the rudder - against rotation direction;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_toggleView;;Switch between different views;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_freeCamera;;Look to the right;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_zoom;;Zoom in to see more details;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_attackByFire;;Open the fire;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_lockTarget;;Select the target;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_lookAtTarget;;Look at the selected target;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_attackBalloons;;Aim at the balloon and fire to destroy it;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_zoomArcade;;Switch to the cockpit view and zoom in;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_elevator03;;Use the elevator to decrease your altitude;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_gears02;;Drop the landing gear and flaps;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_throttle04;;Decrease the throttle to 0%;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_tooFast;;"You are moving too fast; please try landing once again";nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_tooHigh;;"You are moving too high; please try landing once again";nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_highAndFast;;"You are moving too high and fast; please try landing once again";nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_turn;;Turn to face the airstrip;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_airbrake;;Enable the airbrake;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_elevator04;;Use the elevator to start the dive maneuver;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_dropBomb;;Aim at the target and drop the bomb;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_pullOut;;Level the plane to pull out from dive;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_retry;;"You failed to destroy the target; please try the maneuver again";nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_gears03;;Extend the flaps;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_levelOff;;Decrease the altitude and level your aircraft so that its direction matches the direction of the airstrip;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_decreaseAlt;;Smoothly decrease your altitude to 400 meters or lower;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_torpedoAimAR;;"Look at the torpedo sight; direct your plane so that the sight will be in line with the target";nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_torpedoAimS;;Direct your plane so that its nose and tail will be in line with the target;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_levelAR;;Level your aircraft horizontally;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_launchTorpedoAR;;When the line of your sight reaches the target, launch the torpedo;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_launchTorpedoSim;;Launch the torpedo;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_tooPitched;;"You are moving at the wrong angle; please try the maneuver again";nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_pitchedAndHigh;;"You are moving too high and at the wrong angle; please try the maneuver again";nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_waypoint;;Proceed to the waypoint;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_radarIndication;;Look to the right to find aerostats and locate their positions on your radar;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_approach;;Follow the designated route;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_landWP01;;Decrease the throttle to 80%;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_landWP02;;Decrease the throttle to 30%;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_landWP03;;Set the throttle to 100% and raise the gear and flaps;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_landWP04;;Decrease the throttle to 50%;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_zeroThrottle;;Decrease the throttle to 0%;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_destroyBalloons;;Destroy the remaining aerostats;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_destroyShips;;Destroy the remaining ships;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_throttle05;;Decrease the throttle to 0% and continue to decrease it to enable the brake;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_torpedoLevel;;"Keep horizontal position; don't lurch or pitch the aircraft";nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_trimmer;;Enable the trimmer;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_map;;Look at the tactical map;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_wingMap;;Open the statistics map;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_gunnerView;;Switch to gunner view;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_turretControl;;Move the turret;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_airbrakeDis;;Disable the airbrake;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_gears04;;Drop the landing gear;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_brakeRel;;Release the brake;nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_diveCanceled;;"You pulled out from dive maneuver; please try it again";nice;;;;;;;;;;;;;;;;;;;
hints/tutorial_toggleEngine;;Start the engine;nice;;;;;;;;;;;;;;;;;;;
hints/changePlaneT;Your plane is out of torpedoes. You can switch to another plane which still has some;Your plane is out of torpedoes. You can switch to another plane which still has some;same;;;;;;;;;;;;;;;;;;;
hints/changePlaneB;Your plane is out of bombs. You can switch to another plane which still has some;Your plane is out of bombs. You can switch to another plane which still has some;same;;;;;;;;;;;;;;;;;;;
