Column1;Column2;Column3;Column4;Column5;Column6;Column7
<ID|readonly|noverify>;<English>;<French>;<Italian>;;;
missions/enemy_bombers_spawn;Enemy bombers;Enemy bombers;nice;;;
missions/friendly_bombers_spawn;Allied bombers;Allied bombers;nice;;;
missions/wide_air_spawn;Wide spawn;Air point;trim;;;
missions/air_spawn;Air point;Air point;nice;;;
missions/air_spawn_0;Air point 0;Air point;trim;;;
missions/air_spawn1;Air point 1;Air point 1;nice;;;
missions/air_spawn2;Air point 2;Air point 2;nice;;;
missions/spawn_random;Random point;Random point;nice;;;
missions/spawn_destroyers_random;Random point;Random point;nice;;;
missions/spawn_cruisers_random;Random point;Random point;nice;;;
missions/spawn_number;Spawn point #{number};Spawn point #{number};nice;;;
missions/spawn;Spawn point;Spawn point;nice;;;
missions/auto_spawn;Auto ({spawn});Auto ({spawn});nice;;;
missions/spawn_01;Spawn point #1;Spawn point #1;nice;;;
missions/spawn_02;Spawn point #2;Spawn point #2;nice;;;
missions/spawn_03;Spawn point #3;Spawn point #3;nice;;;
missions/spawn_04;Spawn point #4;Spawn point #4;nice;;;
missions/spawn_05;Spawn point #5;Spawn point #5;nice;;;
missions/spawn_06;Spawn point #6;Spawn point #6;nice;;;
missions/spawn_destroyers_01;Light fleet #1;Light fleet #1;nice;;;
missions/spawn_destroyers_02;Light fleet #2;Light fleet #2;nice;;;
missions/spawn_destroyers_03;Light fleet #3;Light fleet #3;nice;;;
missions/spawn_destroyers_04;Light fleet #4;Light fleet #4;nice;;;
missions/spawn_cruisers_01;Heavy fleet #1;Heavy fleet #1;nice;;;
missions/spawn_cruisers_02;Heavy fleet #2;Heavy fleet #2;nice;;;
missions/spawn_cruisers_03;Heavy fleet #3;Heavy fleet #3;nice;;;
missions/spawn2_random;Random point 2;Random point;trim;;;
missions/spawn2_01;Spawn point #1;Spawn point #1;nice;;;
missions/spawn2_02;Spawn point #2;Spawn point #2;nice;;;
missions/spawn2_03;Spawn point #3;Spawn point #3;nice;;;
missions/spawn2_04;Spawn point #4;Spawn point #4;nice;;;
missions/spawn2_05;Spawn point #5;Spawn point #5;nice;;;
missions/spawn2_06;Spawn point #6;Spawn point #6;nice;;;
missions/carriers_spawn;Carrier fleet;Carrier fleet;nice;;;
missions/random_airfield_spawn;Random airfield;Random airfield;nice;;;
missions/airfield_spawn;Airfield;Airfield;same;;;
missions/airfield_spawn1;Airfield 1;Airfield 1;nice;;;
missions/airfield_spawn2;Airfield 2;Airfield 2;nice;;;
missions/airfield_spawn3;Airfield 3;Airfield 3;nice;;;
missions/airfield_spawn4;Airfield 4;Airfield 4;nice;;;
missions/airfield_spawn5;Airfield 5;Airfield 5;nice;;;
missions/airfield_spawn6;Airfield 6;Airfield 6;nice;;;
missions/airfield_spawn7;Airfield 7;Airfield 7;nice;;;
missions/airfield_spawn8;Airfield 8;Airfield 8;nice;;;
missions/helipad_spawn_random;Random Helipad;Random Helipad;nice;;;
missions/helipad_spawn;Helipad;Helipad;same;;;
missions/helipad_spawn1;Helipad 1;Helipad 1;nice;;;
missions/helipad_spawn2;Helipad 2;Helipad 2;nice;;;
missions/helipad_spawn3;Helipad 3;Helipad 3;nice;;;
missions/helipad_spawn4;Helipad 4;Helipad 4;nice;;;
missions/helipad_spawn5;Helipad 5;Helipad 5;nice;;;
missions/helipad_spawn6;Helipad 6;Helipad 6;nice;;;
missions/helipad_spawn7;Helipad 7;Helipad 7;nice;;;
missions/helipad_spawn8;Helipad 8;Helipad 8;nice;;;
missions/helipad_spawn9;Helipad 9;Helipad 9;nice;;;
missions/helipad_spawn10;Helipad 10;Helipad 10;nice;;;
missions/helipad_spawn11;Helipad 11;Helipad 11;nice;;;
missions/helipad_spawn12;Helipad 12;Helipad 12;nice;;;
missions/ucav_spawn1;UCAV point 1;UCAV point 1;nice;;;
missions/ucav_spawn2;UCAV point 2;UCAV point 2;nice;;;
missions/ground_spawn_north;Northern point;Northern point;nice;;;
missions/ground_spawn_south;Southern point;Southern point;nice;;;
missions/ground_spawn_east;Eastern point;Eastern point;nice;;;
missions/ground_spawn_west;Western point;Western point;nice;;;
missions/empty_spawn;MT;;trim;;;
missions/fighters_spawn;Fighters;Fighters;same;;;
missions/assaults_spawn;Strike aircraft;Strike aircraft;nice;;;
missions/bombers_spawn;Bombers;Bombers;same;;;
missions/battleship_spawn;Battleships;Battleships;same;;;
missions/battlecruiser_spawn;Battlecruisers;Battlecruisers;same;;;
missions/low_spawn;Low point;Low point;nice;;;
missions/high_spawn;High point;High point;nice;;;
missions/far_airfield_spawn;Distant airfield;Distant airfield;nice;;;
missions/middle_airfield_spawn1;Airfield 1;Airfield 1;nice;;;
missions/middle_airfield_spawn2;Airfield 2;Airfield 2;nice;;;
missions/near_airfield_spawn;Front-line airfield;Front-line airfield;nice;;;
missions/gladiators_air_1x1;[Tournament] Gladiators 1x1 -;[Tournament] Gladiators 1x1 -;nice;;;
missions/gladiators_air_2x2;[Tournament] Gladiators 2x2 -;[Tournament] Gladiators 2x2 -;nice;;;
missions/gladiators_air_2x2_jet;[Tournament] Gladiators 2x2 Jets -;[Tournament] Gladiators 2x2 Jets -;nice;;;
missions/gladiators_air_4x4;[Tournament] Gladiators 4x4 -;[Tournament] Gladiators 4x4 -;nice;;;
missions/gladiators_air_1x1/desc;"The teams fight each other in tournament mode

- The battle consists of a few rounds: the first to attain two victories, wins the duel.
- A victory in each round is gained after capturing the air zone ╷.";"The teams fight each other in tournament mode

- The battle consists of a few rounds: the first to attain two victories, wins the duel.
- A victory in each round is gained after capturing the air zone ╷.";nice;;;
missions/gladiators_air_2x2/desc;"The teams fight each other in tournament mode

- The battle consists of a few rounds: the first to attain two victories, wins the duel.
- A victory in each round is gained after capturing the air zone ╷.";"The teams fight each other in tournament mode

- The battle consists of a few rounds: the first to attain two victories, wins the duel.
- A victory in each round is gained after capturing the air zone ╷.";nice;;;
missions/gladiators_air_4x4/desc;"The teams fight each other in tournament mode

- The battle consists of four rounds: single, double, group and an additional group round.
- Armament is activated by timer.
- The victory in a local battle is gained after capturing the air zone ╷.
- The victory in a round depends on the amount of captured zones ╷. The victory in the first round brings you 1000 points, then 2000 points in the second, 3000 points in the third, and 3000 points in the additional round.
- The fourth round is played if the teams have the same score in the third round final.
- The fourth round is randomly selected from the three modes (1x1 2x4 or 4x4).";"The teams fight each other in tournament mode

- The battle consists of four rounds: single, double, group and an additional group round.
- Armament is activated by timer.
- The victory in a local battle is gained after capturing the air zone ╷.
- The victory in a round depends on the amount of captured zones ╷. The victory in the first round brings you 1000 points, then 2000 points in the second, 3000 points in the third, and 3000 points in the additional round.
- The fourth round is played if the teams have the same score in the third round final.
- The fourth round is randomly selected from the three modes (1x1 2x4 or 4x4).";nice;;;
missions/_Dom;[Domination];[Domination];same;;;
missions/_Dom1;[Domination #1];[Domination #1];nice;;;
missions/_Dom2;[Domination #2];[Domination #2];nice;;;
missions/_Dom3;[Domination #3];[Domination #3];nice;;;
missions/_Dom/desc;"

In [Domination] mode teams fight for control over three strategic points in the location.

Ground forces objectives:
- Capture and keep the advantage in points captured ╸,╹,╺";"

In [Domination] mode teams fight for control over three strategic points in the location.

Ground forces objectives:
- Capture and keep the advantage in points captured ╸,╹,╺";nice;;;
missions/_Conq;[Conquest];[Conquest];same;;;
missions/_Conq/desc;"

In [Conquest] mode teams fight for control over one strategic point.

Ground forces objectives:
- Capture and hold the point ╸";"

In [Conquest] mode teams fight for control over one strategic point.

Ground forces objectives:
- Capture and hold the point ╸";nice;;;
missions/_Bttl;[Battle];[Battle];same;;;
missions/_Bttl1;[Battle #1];[Battle #1];nice;;;
missions/_Bttl2;[Battle #2];[Battle #2];nice;;;
missions/_Bttl3;[Battle #3];[Battle #3];nice;;;
missions/_Bttl/desc;"

In [Battle] mode, each of the teams begins with one strategic point captured. If one of the teams manages to re-capture another team's point, it wins instantly.

Ground forces objectives:
- Capture the enemy point <color=@teamRedColor>╶</color>
- Prevent the capture of the allied point <color=@teamBlueColor>╶</color>";"

In [Battle] mode, each of the teams begins with one strategic point captured. If one of the teams manages to re-capture another team's point, it wins instantly.

Ground forces objectives:
- Capture the enemy point <color=@teamRedColor>╶</color>
- Prevent the capture of the allied point <color=@teamBlueColor>╶</color>";nice;;;
missions/_CnvA;[Column #1];[Column #1];nice;;;
missions/_CnvA/defensive;[Column #1];[Column #1];nice;;;
missions/_CnvA/offensive;[Column Interception #1];[Column Interception #1];nice;;;
missions/_CnvB;[Column #2];[Column #2];nice;;;
missions/_CnvB/defensive;[Column #2];[Column #2];nice;;;
missions/_CnvB/offensive;[Column Interception #2];[Column Interception #2];nice;;;
missions/_Cnv/desc;"

In [Column] mode, one of the teams defends a vehicle convoy from another team's attacks.

Defenders' objectives:
- Defend the vehicle convoy

Attackers' objectives:
- Destroy the enemy vehicle convoy";"

In [Column] mode, one of the teams defends a vehicle convoy from another team's attacks.

Defenders' objectives:
- Defend the vehicle convoy

Attackers' objectives:
- Destroy the enemy vehicle convoy";nice;;;
missions/_Cnv/desc/defensive;"Our column is being attacked by enemy aircraft.

Mission objective:
- Cover the column of allied vehicles before it leaves the combat area";"Our column is being attacked by enemy aircraft.

Mission objective:
- Cover the column of allied vehicles before it leaves the combat area";nice;;;
missions/_Cnv/desc/offensive;"We have attacked an enemy column from the air.

Mission objective:
- Destroy the enemy column before it leaves the combat area";"We have attacked an enemy column from the air.

Mission objective:
- Destroy the enemy column before it leaves the combat area";nice;;;
missions/_GCnvA;[Column #1];[Column #1];nice;;;
missions/_GCnvA/defensive;[Column #1];[Column #1];nice;;;
missions/_GCnvA/offensive;[Column Interception #1];[Column Interception #1];nice;;;
missions/_GCnvB;[Column #2];[Column #2];nice;;;
missions/_GCnvB/defensive;[Column #2];[Column #2];nice;;;
missions/_GCnvB/offensive;[Column Interception #2];[Column Interception #2];nice;;;
missions/_GCnv/desc;"

In [Column] mode, one of the teams defends a vehicle convoy from another team's attacks.

Defenders' objectives:
- Defend the vehicle convoy

Attackers' objectives:
- Destroy the enemy vehicle convoy";"

In [Column] mode, one of the teams defends a vehicle convoy from another team's attacks.

Defenders' objectives:
- Defend the vehicle convoy

Attackers' objectives:
- Destroy the enemy vehicle convoy";nice;;;
missions/_GCnv/desc/defensive;"Our column is being attacked by enemy armored vehicles.

Mission objective:
- Cover the column of allied vehicles before it leaves the combat area";"Our column is being attacked by enemy armored vehicles.

Mission objective:
- Cover the column of allied vehicles before it leaves the combat area";nice;;;
missions/_GCnv/desc/offensive;"We have attacked an enemy convoy.

Mission objective:
- Destroy the enemy convoy before it leaves the affected area";"We have attacked an enemy convoy.

Mission objective:
- Destroy the enemy convoy before it leaves the affected area";nice;;;
missions/_DBttlA;[Defence #1];[Defence #1];nice;;;
missions/_DBttlA/defensive;[Defence #1];[Defence #1];nice;;;
missions/_DBttlA/offensive;[Advance to Contact #1];[Advance to Contact #1];nice;;;
missions/_DBttlB;[Defence #2];[Defence #2];nice;;;
missions/_DBttlB/defensive;[Defence #2];[Defence #2];nice;;;
missions/_DBttlB/offensive;[Advance to Contact #2];[Advance to Contact #2];nice;;;
