Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
<ID|readonly|noverify>;<English>;<French>;<Italian>;;;;;;;;;;;;;;;;;;;
HUD_SCREENSHOT_LINK;;;same;;;;;;;;;;;;;;;;;;;
HUD_STALL;STALL;;trim;;;;;;;;;;;;;;;;;;;
HUD_CRIT_ALT;PULL UP!;PULL UP!;same;;;;;;;;;;;;;;;;;;;
HUD_CRIT_SPEED;TOO SLOW;CRITICAL SPEED, PUSH NOSE DOWN!;nice;;;;;;;;;;;;;;;;;;;
HUD_TOO_HEAVY_FOR_VTOL;TOO HEAVY FOR VTOL!;TOO HEAVY FOR VTOL!;same;;;;;;;;;;;;;;;;;;;
HUD_CRIT_FLOOD;CRITICAL FLOODING, SPEED RESTRICTED!;CRITICAL FLOODING, SPEED RESTRICTED!;same;;;;;;;;;;;;;;;;;;;
HUD_PAUSE;PAUSE;PAUSE;same;;;;;;;;;;;;;;;;;;;
HUD_AUTOPILOT;AUTOPILOT;AUTOPILOT;same;;;;;;;;;;;;;;;;;;;
TXT_FOLLOW_THE_PATH;FOLLOW THE SPECIFIED PATH!;FOLLOW THE SPECIFIED PATH!;same;;;;;;;;;;;;;;;;;;;
HUD_RETURN;RETURN TO THE BATTLEFIELD!;RETURN TO THE BATTLEFIELD!;same;;;;;;;;;;;;;;;;;;;
HUD_RETURN_TIMER;RETURN TO THE BATTLEFIELD WITHIN:;RETURN TO THE BATTLEFIELD WITHIN:;same;;;;;;;;;;;;;;;;;;;
HUD_ROYAL_AREA_TIMER;Battle Area will change in:;Battle Area will change in:;same;;;;;;;;;;;;;;;;;;;
HUD_ROYAL_AREA_WARNING_TIMER;BATTLE AREA WILL CHANGE IN:;BATTLE AREA WILL CHANGE IN:;same;;;;;;;;;;;;;;;;;;;
HUD_IS_VISIBLE_BY_ZONE;You are in the enemy detection zone and visible to them on the minimap.;You are in the enemy detection zone and visible to them on the minimap.;same;;;;;;;;;;;;;;;;;;;
TXT_LEAVE_ZONE_TIMER;LEAVE THE AREA WITHIN:;LEAVE THE AREA WITHIN:;same;;;;;;;;;;;;;;;;;;;
NET_PLAYER_QUIT_FROM_GAME;has quit the battle.;has quit the battle.;same;;;;;;;;;;;;;;;;;;;
NET_PLAYER_DISCONNECT_FROM_GAME;has disconnected from the game.;has disconnected from the game.;same;;;;;;;;;;;;;;;;;;;
NET_SERVER_LOST;Connection to the server lost. You will return to the menu.;Connection to the server is lost. You will be returned to menu.;nice;;;;;;;;;;;;;;;;;;;
NET_PLAYERS_LEFT;All players are disconnected.;All players are disconnected.;same;;;;;;;;;;;;;;;;;;;
NET_SERVER_QUIT_FROM_GAME;Connection to the battle server lost. You will return to the menu.;Connection to the battle server was lost. You will be returned to menu.;nice;;;;;;;;;;;;;;;;;;;
NET_CONNECTION_IS_LOST;Connection lost. Check your internet connection.;Connection is lost. Check your internet connection.;nice;;;;;;;;;;;;;;;;;;;
NET_ALL_PLAYERS_DISCONNECTED;All players are disconnected.;All players are disconnected.;same;;;;;;;;;;;;;;;;;;;
NET_AIRCRAFT_LEADER;New leader is;New leader is;same;;;;;;;;;;;;;;;;;;;
NET_3_SCORE_LEFT;3 points left;3 points left;same;;;;;;;;;;;;;;;;;;;
NET_2_SCORE_LEFT;2 points left;2 points left;same;;;;;;;;;;;;;;;;;;;
NET_1_SCORE_LEFT;1 point left;1 point left;same;;;;;;;;;;;;;;;;;;;
NET_PLAYER_HAS_CRASHED;has a skill issue.;has crashed.;trim;;;;;;;;;;;;;;;;;;;
NET_PLAYER_KILLED_BY_PLAYER;shot down by;shot down by;same;;;;;;;;;;;;;;;;;;;
NET_PLAYER_HAS_RESPAWNED;is ready for action.;is ready for action.;same;;;;;;;;;;;;;;;;;;;
