Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;;;;;;;;;;;;;;;;;;
modification/category/lth;Flight performance;Flight performance;same;;;;;;;;;;;;;;;;;;;
modification/category/armor;Survivability;Survivability;same;;;;;;;;;;;;;;;;;;;
modification/category/weapon;Weaponry;Weaponry;same;;;;;;;;;;;;;;;;;;;
modification/category/mobility;Mobility;Mobility;same;;;;;;;;;;;;;;;;;;;
modification/category/protection;Protection;Protection;same;;;;;;;;;;;;;;;;;;;
modification/category/firepower;Firepower;Firepower;same;;;;;;;;;;;;;;;;;;;
modification/category/primaryWeapon;Offensive armament;Offensive armament;same;;;;;;;;;;;;;;;;;;;
modification/category/secondaryWeapon;Secondary weapon;Secondary weapon;same;;;;;;;;;;;;;;;;;;;
modification/category/premiumMods;Special;Special;same;;;;;;;;;;;;;;;;;;;
modification/category/expendables;Supplies;Supplies;same;;;;;;;;;;;;;;;;;;;
modification/category/seakeeping;Seakeeping;Seakeeping;same;;;;;;;;;;;;;;;;;;;
modification/category/unsinkability;Buoyancy;Unsinkability;nice;;;;;;;;;;;;;;;;;;;
modification/category/bonus;Tier bonus;Tier bonus;same;;;;;;;;;;;;;;;;;;;
modification/category/bonus/tooltip;When researching all modifications at each tier, you will receive bonus RP for the vehicle being researched in the amount of {bonus}% of the sum of RP spent on researching all modifications of that tier.;When researching all modifications at each tier, you will receive bonus RP for the vehicle being researched in the amount of {bonus}% of the sum of RP spent on researching all modifications of that tier.;same;;;;;;;;;;;;;;;;;;;
modification/tierBonus;Bonus:;Bonus:;same;;;;;;;;;;;;;;;;;;;
modification/bonusReceived;Bonus received;Bonus received;same;;;;;;;;;;;;;;;;;;;
modification/progressModsText;Research of all modifications: {earnedExp} / {reqExp};Research of all modifications: {earnedExp} / {reqExp};same;;;;;;;;;;;;;;;;;;;
modification/progressModsAllResearchedText;◕ All mods researched;◕ All mods researched;same;;;;;;;;;;;;;;;;;;;
modification/f2a3_2x100lb;Mk.41;Mk.41;same;;;;;;;;;;;;;;;;;;;
modification/f2a3_2x100lb/desc;Allows installing 2 x 100 lb bombs.;Allows the installation of 2 x 100 lb bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/g50_2xSC50;SC 50;SC 50;same;;;;;;;;;;;;;;;;;;;
modification/g50_2xSC50/desc;Allows installing 2 x 50 kg bombs.;Allows the installation of 2 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/it50_mod;GP50;GP50;same;;;;;;;;;;;;;;;;;;;
modification/it50_mod/desc;Allows installing 50 kg bombs.;Allows the installation of 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/it100_mod;GP100;GP100;same;;;;;;;;;;;;;;;;;;;
modification/it100_mod/desc;Allows installing 100 kg bombs.;Allows the installation of 100 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/it150_mod;GP150;GP150;same;;;;;;;;;;;;;;;;;;;
modification/it150_mod/desc;Allows installing 150 kg bombs.;Allows the installation of 150 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/it160_mod;A.P 160;A.P 160;same;;;;;;;;;;;;;;;;;;;
modification/it160_mod/desc;Allows installing 160 kg bombs.;Allows the installation of 160 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/it250_mod;GP250;GP250;same;;;;;;;;;;;;;;;;;;;
modification/it250_mod/desc;Allows installing 250 kg bombs.;Allows the installation of 250 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/it500_mod;GP500;GP500;same;;;;;;;;;;;;;;;;;;;
modification/it500_mod/desc;Allows installing a 500 kg bomb.;Allows the installation of a 500 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/it630_ap_mod;630PD;630PD;same;;;;;;;;;;;;;;;;;;;
modification/it630_ap_mod/desc;Allows installing a 630 kg bomb.;Allows the installation of 630 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/it800_mod;GP800;GP800;same;;;;;;;;;;;;;;;;;;;
modification/it800_mod/desc;Allows installing 800 kg bombs.;Allows the installation of 800 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/he51_6xsd10;SD 10;SD 10;same;;;;;;;;;;;;;;;;;;;
modification/he51_6xsd10/desc;Allows installing 6 x 10 kg bombs.;Allows the installation of 6 x 10 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Hs-123_4xSC50;SC 50;SC 50;same;;;;;;;;;;;;;;;;;;;
modification/Hs-123_4xSC50/desc;Allows installing 4 x 50 kg bombs.;Allows the installation of 4 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Hs-123_SC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/Hs-123_SC250/desc;Allows installing a 250 kg bomb.;Allows the installation of 1 x 250 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109E-3_4xSC50;SC 50;SC 50;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109E-3_4xSC50/desc;Allows installing 4 x 50 kg bombs.;Allows the installation of 4 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109E-3_SC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109E-3_SC250/desc;Allows installing a 250 kg bomb.;Allows the installation of 1 x 250 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109F-4_4xSC50;SC 50;SC 50;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109F-4_4xSC50/desc;Allows installing 4 x 50 kg bombs.;Allows the installation of 4 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109F-4_SC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109F-4_SC250/desc;Allows installing a 250 kg bomb.;Allows the installation of 1 x 250 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109F-4_SC500;SC 500;SC 500;same;n;;;;;;;;;;;;;;;;;;
modification/Bf-109F-4_SC500/desc;Allows the installation of 1 x 500 kg bomb.;Allows the installation of 1 x 500 kg bomb.;same;n;;;;;;;;;;;;;;;;;;
modification/Bf-109F-4_R1;R1 modification;R1 modification;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109F-4_R1/desc;Allows installing 2 x 15 mm MG151/15 cannons under the wings.;Allows the installation of 2 x 15 mm MG151/15 cannons under the wings.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-10_R5;R5 modification;R5 modification;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-10_R5/desc;Allows installing 2 x 30 mm MK 108 cannons under the wings.;Allows the installation of 2 x 30 mm MK 108 cannons under the wings.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-10_SC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-10_SC250/desc;Allows installing a 250 kg bomb.;Allows the installation of 1 x 250 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-10_SC500;SC 500;SC 500;same;n;;;;;;;;;;;;;;;;;;
modification/Bf-109G-10_SC500/desc;Allows the installation of 1 x 500 kg bomb.;Allows the installation of 1 x 500 kg bomb.;same;n;;;;;;;;;;;;;;;;;;
modification/Bf-109G-10_MK108_mod;MK 108 cannon;MK 108 cannon;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-10_MK108_mod/desc;Allows installing 30 mm MK 108 cannon.;Allows the installation of 30 mm MK 108 cannon.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-10_R6;R6 modification;R6 modification;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-10_R6/desc;Allows installing 2 x 20 mm MG151/20 cannons under the wings.;Allows the installation of 2 x 20 mm MG151/20 cannons under the wings.;nice;;;;;;;;;;;;;;;;;;;
modification/hs129_r2;R2 modification;R2 modification;same;;;;;;;;;;;;;;;;;;;
modification/hs129_r2/desc;Allows installing 30 mm MK 103 cannon.;Allows the installation of 30 mm MK 103 cannon.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-2_4xSC50;SC 50;SC 50;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-2_4xSC50/desc;Allows installing 4 x 50 kg bombs.;Allows the installation of 4 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-2_SC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-2_SC250/desc;Allows installing a 250 kg bomb.;Allows the installation of 1 x 250 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-2_SC500;SC 50;SC 50;same;n;;;;;;;;;;;;;;;;;;
modification/Bf-109G-2_SC500/desc;Allows the installation of 1 x 500 kg bomb.;Allows the installation of 1 x 500 kg bomb.;same;n;;;;;;;;;;;;;;;;;;
modification/Bf-109G-2_R6;R6 modification;R6 modification;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-2_R6/desc;Allows installing 2 x 20 mm MG151/20 cannons under the wings.;Allows the installation of 2 x 20 mm MG151/20 cannons under the wings.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_R6;R6 modification;R6 modification;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_R6/desc;Allows installing 2 x 20 mm MG151/20 cannons under the wings.;Allows the installation of 2 x 20 mm MG151/20 cannons under the wings.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_R5;R5 modification;R5 modification;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_R5/desc;Allows installing 2 x 30 mm MK 108 cannons under the wings.;Allows the installation of 2 x 30 mm MK 108 cannons under the wings.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_4xSC50;SC 50;SC 50;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_4xSC50/desc;Allows installing 4 x 50 kg bombs.;Allows the installation of 4 x 50 kg bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_SC250;SC 250;SC 250;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_SC250/desc;Allows installing a 250 kg bomb.;Allows the installation of 1 x 250 kg bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_SC500;SC 500;SC 500;same;n;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_SC500/desc;Allows the installation of 1 x 500 kg bomb.;Allows the installation of 1 x 500 kg bomb.;same;n;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_W;W.Gr.21;W.Gr.21;same;;;;;;;;;;;;;;;;;;;
modification/Bf-109G-6_W/desc;Allows installing 2 x Wfr.Gr.21 rockets.;Allows the installation of 2 x 210 mm rockets BR.21.;nice;;;;;;;;;;;;;;;;;;;
modification/bf-109g6_u4_mod;U4 modification;U4 modification;same;;;;;;;;;;;;;;;;;;;
modification/bf-109g6_u4_mod/desc;Allows installing 30 mm MK 108 motor-cannon.;Allows the installation of 30 mm MK 108 motor-cannon.;nice;;;;;;;;;;;;;;;;;;;
modification/Bf-109K-4_R5;R5 modification;R5 modification;same;;;;;;;;;;;;;;;;;;;
