Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24
<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;;;;;;;;;;;;;;;;;;;
weapons/cannonMGC30L;20 mm MG C/30L cannon;20 mm MG C/30L cannon;same;;;;;;;;;;;;;;;;;;;;
weapons/cannonType5;30 mm Type 5 cannon;30 mm Type 5 cannon;same;;;;;;;;;;;;;;;;;;;;
weapons/cannonType5_external;30 mm Type 5 cannon (┖);30 mm Type 5 cannon;trim;;;;;;;;;;;;;;;;;;;;
weapons/gunType97;7.7 mm Type 97 machine gun;7.7 mm Type 97 machine gun;same;;;;;;;;;;;;;;;;;;;;
weapons/gunType97_turret;7.7 mm Type 97 machine gun;7.7 mm Type 97 machine gun;same;;;;;;;;;;;;;;;;;;;;
weapons/cannonType99;20 mm Type 99 Model 1 cannon;20 mm Type 99 Model 1 cannon;same;;;;;;;;;;;;;;;;;;;;
weapons/cannonType99_turret;20 mm Type 99 Model 1 cannon;20 mm Type 99 Model 1 cannon;same;;;;;;;;;;;;;;;;;;;;
weapons/cannonType99Mod2_mark3_turret;20 mm Type 99 Model 2 Mark 3 cannon;20 mm Type 99 Model 2 Mark 3 cannon;same;n;;;;;;;;;;;;;;;;;;;
weapons/cannonType99Mod2_mark5_turret;20 mm Type 99 Model 2 Mk.5 cannon;20 mm Type 99 Model 2 Mark 5 cannon;nice;;;;;;;;;;;;;;;;;;;;
weapons/gunMAC34;7.5 mm MAC1934A machine gun;7.5 mm MAC 1934 machine gun;nice;;;;;;;;;;;;;;;;;;;;
weapons/gunMAC34_turret;7.5 mm MAC1934T machine gun;7.5 mm MAC 1934 machine gun;nice;;;;;;;;;;;;;;;;;;;;
weapons/gunMAC34T_turret;7.5 mm MAC1934T machine gun;7.5 mm MAC 1934T machine gun;nice;;;;;;;;;;;;;;;;;;;;
weapons/gunDarne23;7.5 mm Darne Mle1923 machine gun;7.5 mm Mle 1923 machine gun;trim;;;;;;;;;;;;;;;;;;;;
weapons/gunDarne23_turret;7.5 mm Darne Mle1923 machine gun;7.5 mm Mle 1923 machine gun;trim;;;;;;;;;;;;;;;;;;;;
weapons/cannonHispano_hs9;20 mm HS 9 cannon;20 mm Hispano HS.9 cannon;nice;;;;;;;;;;;;;;;;;;;;
weapons/cannonHispano_hs825;30 mm HS 825 cannon;30 mm Hispano HS 825 cannon;nice;;;;;;;;;;;;;;;;;;;;
weapons/cannonHispano_hs825/short;HS 825;Hispano HS 825;nice;;;;;;;;;;;;;;;;;;;;
weapons/cannonHo3;20 mm Ho-3 cannon;20 mm Ho-3 cannon;same;;;;;;;;;;;;;;;;;;;;
weapons/cannonT15E1;75 mm M10 cannon;75 mm M10 cannon;same;;;;;;;;;;;;;;;;;;;;
weapons/cannonType97;20 mm Type 97 cannon;20 mm Type 97 cannon;same;n;;;;;;;;;;;;;;;;;;;
weapons/cannonType_23L;23 mm Type 23L cannon;23 mm Type 23L cannon;same;;;;;;;;;;;;;;;;;;;;
weapons/cannonType_23_1;23 mm Type 23-1 cannon;23 mm Type 23-1 cannon;same;;;;;;;;;;;;;;;;;;;;
weapons/cannonType_23_1_plane;23 mm Type 23-1 cannon;23 mm Type 23-1 cannon;same;;;;;;;;;;;;;;;;;;;;
weapons/cannonType97_turret;20 mm Ho-1 cannon;20 mm Ho-1 cannon;same;;;;;;;;;;;;;;;;;;;;
weapons/gunBredaSAFAT127;12.7 mm Breda-SAFAT machine gun;12.7 mm Breda-SAFAT machine gun;same;;;;;;;;;;;;;;;;;;;;
weapons/gunBredaSAFAT127_turret;12.7 mm Breda-SAFAT machine gun;12.7 mm Breda-SAFAT machine gun;same;;;;;;;;;;;;;;;;;;;;
weapons/gunBredaSAFAT77;7.7 mm Breda-SAFAT machine gun;7.7 mm Breda-SAFAT machine gun;same;;;;;;;;;;;;;;;;;;;;
weapons/gunBredaSAFAT77_turret;7.7 mm Breda-SAFAT machine gun;7.7 mm Breda-SAFAT machine gun;same;;;;;;;;;;;;;;;;;;;;
weapons/gunScotti127_turret;12.7 mm Scotti machine gun;12.7 mm Scotti machine gun;same;;;;;;;;;;;;;;;;;;;;
weapons/gunDarne33;7.5 mm Darne Mle1933 machine gun;7.5 mm Darne 1933 machine gun;trim;;;;;;;;;;;;;;;;;;;;
weapons/gunMle38;7.5 mm FN Mle 38 machine gun;7.5 mm Fabrique Nationale Mle 38 machine gun;nice;;;;;;;;;;;;;;;;;;;;
weapons/gunBrowning303;7.7 mm Browning Mk.II machine gun;7.7 mm Browning machine gun;trim;;;;;;;;;;;;;;;;;;;;
weapons/gunBrowning303_turret;7.7 mm Browning Mk.II machine gun;7.7 mm Browning machine gun;trim;;;;;;;;;;;;;;;;;;;;
weapons/gunBrowning303_raf;7.7 mm Browning Mk.II machine gun;7.7 mm Browning machine gun;trim;;;;;;;;;;;;;;;;;;;;
weapons/gunBrowning30_usaaf;7.62 mm AN-M2 machine gun;7.62 mm Browning machine gun;nice;;;;;;;;;;;;;;;;;;;;
weapons/gunBrowning30_usaaf_1935;7.62 mm AN-M2 machine gun (e);7.62 mm Browning machine gun;trim;;;;;;;;;;;;;;;;;;;;
weapons/gunBrowning30_turret;7.62 mm AN-M2 machine gun;7.62 mm Browning machine gun;nice;;;;;;;;;;;;;;;;;;;;
weapons/gunBrowning50_M3;12.7 mm AN-M3 machine gun;12.7 mm M3 Browning machine gun;nice;;;;;;;;;;;;;;;;;;;;
